iter	Passed	Remaining
0	0	68
1	1	65
2	1	63
3	2	59
4	3	58
5	3	56
6	4	55
7	4	53
8	5	54
9	6	54
10	6	53
11	7	53
12	7	52
13	8	51
14	9	51
15	9	50
16	10	49
17	10	49
18	11	48
19	12	48
20	12	48
21	13	48
22	14	47
23	15	47
24	15	47
25	16	47
26	17	46
27	17	46
28	18	45
29	19	45
30	20	44
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	27	39
41	27	37
42	28	37
43	28	36
44	29	35
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	17
74	48	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
